Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
15,1976-07-11,195.0,Saint-Lary-Soulan,Pau,Mountain,Wladimiro Panizza,ITA
16,1976-07-12,152.0,Pau,Fleurance,Flat,Michel Pollentier,BEL
17,1976-07-13,39.0,Fleurance,Auch,Time Trial,Ferdinand Bracke,BEL
18a,1976-07-14,86.0,Auch,Langon,Other,Freddy Maertens,BEL
18b,1976-07-14,123.0,Langon,Lacanau,Other,Freddy Maertens,BEL
18c,1976-07-14,70.0,Lacanau,Bordeaux,Other,Gerben Karstens,NED
19,1976-07-15,220.0,Sainte-Foy-la-Grande,Tulle,Flat,Hubert Mathis,FRA
20,1976-07-16,220.0,Tulle,Puy de Dôme,Mountain,Joop Zoetemelk,NED
21,1976-07-17,145.0,Montargis,Versailles,Flat,Freddy Maertens,BEL
22a,1976-07-18,6.0,Paris,Paris,Time Trial,Freddy Maertens,BEL
22b,1976-07-18,91.0,Paris,Paris,Other,Gerben Karstens,NED
P,1975-06-26,6.0,Charleroi,Charleroi,Time Trial,Francesco Moser,ITA
1a,1975-06-27,94.0,Charleroi,Molenbeek,Flat,Cees Priem,NED
1b,1975-06-27,109.0,Molenbeek,Roubaix,Flat,Rik Van Linden,BEL
2,1975-06-28,121.0,Roubaix,Amiens,Flat,Ronald de Witte,BEL
3,1975-06-29,170.0,Amiens,Versailles,Flat,Karel Rottiers,BEL
4,1975-06-30,223.0,Versailles,Le Mans,Flat,Jacques Esclassan,FRA
5,1975-07-02,222.0,Sablé-sur-Sarthe,Merlin-Plage,Flat,Theo Smit,NED
6,1975-07-02,16.0,Merlin-Plage,Merlin-Plage,Time Trial,Eddy Merckx,BEL
7,1975-07-03,236.0,Saint-Gilles-Croix-de-Vie,Angoulême,Flat,Francesco Moser,ITA
8,1975-07-04,134.0,Angoulême,Bordeaux,Flat,Barry Hoban,GBR
9a,1975-07-05,131.0,Langon,Fleurance,Flat,Theo Smit,NED
9b,1975-07-05,37.0,Fleurance,Auch,Time Trial,Eddy Merckx,BEL
10,1975-07-07,206.0,Auch,Pau,Mountain,Felice Gimondi,ITA
11,1975-07-08,160.0,Pau,Saint-Lary-Soulan Pla d'Adet,Mountain,Joop Zoetemelk,NED
12,1975-07-09,242.0,Tarbes,Albi,Flat,Gerrie Knetemann,NED
13,1975-07-10,260.0,Albi,Super-Lioran,Mountain,Michel Pollentier,BEL
14,1975-07-11,174.0,Aurillac,Puy de Dôme,Mountain,Lucien Van Impe,BEL
15,1975-07-13,217.0,Nice,Pra-Loup,Mountain,Bernard Thévenet,FRA
16,1975-07-14,107.0,Barcelonnette,Serre Chevalier,Mountain,Bernard Thévenet,FRA
17,1975-07-15,225.0,Valloire,Morzine Avoriaz,Mountain,Vicente Lopez-Carril,ESP
18,1975-07-16,40.0,Morzine,Châtel,Time Trial,Lucien Van Impe,BEL
19,1975-07-17,229.0,Thonon-les-Bains,Chalon-sur-Saône,Mountain,Rik Van Linden,BEL
20,1975-07-18,256.0,Pouilly-en-Auxois,Melun,Flat,Giacinto Santambrogio,ITA
21,1975-07-19,220.0,Melun,Senlis,Flat,Rik Van Linden,BEL
22,1975-07-20,164.0,Paris,Paris,Flat,Walter Godefroot,BEL
P,1974-06-27,7.0,Brest,Brest,Time Trial,Eddy Merckx,BEL
1,1974-06-28,144.0,Brest,Saint-Pol-de-Léon,Flat,Ercole Gualazzini,ITA
2,1974-06-29,164.0,Plymouth,Plymouth,Flat,Henk Poppe,NED
3,1974-06-30,190.0,Morlaix,Saint-Malo,Flat,Patrick Sercu,BEL
4,1974-07-01,184.0,Saint-Malo,Caen,Flat,Patrick Sercu,BEL
5,1974-07-02,165.0,Caen,Dieppe,Flat,Ronald de Witte,BEL
6a,1974-07-03,239.0,Dieppe,Harelbeke,Flat,Jean-Luc Molineris,FRA
6b,1974-07-03,9.0,Harelbeke,Harelbeke,Time Trial,Molteni,NaN
7,1974-07-04,221.0,Mons,Châlons-sur-Marne,Flat,Eddy Merckx,BEL
8a,1974-07-05,136.0,Châlons-sur-Marne,Chaumont,Flat,Cyrille Guimard,FRA
8b,1974-07-05,152.0,Chaumont,Besançon,Flat,Patrick Sercu,BEL
9,1974-07-06,241.0,Besançon,Gaillard,Mountain,Eddy Merckx,BEL
10,1974-07-07,131.0,Gaillard,Aix-les-Bains,Mountain,Eddy Merckx,BEL
11,1974-07-08,199.0,Aix-les-Bains,Serre Chevalier,Mountain,Vicente Lopez Carril,ESP
12,1974-07-10,231.0,Savines-le-Lac,Orange,Mountain,Jos Spruyt,BEL
13,1974-07-11,126.0,Avignon,Montpellier,Flat,Barry Hoban,GBR
14,1974-07-12,249.0,Lodève,Colomiers,Flat,Jean-Pierre Genet,FRA
15,1974-07-14,225.0,Colomiers,La Seu d'Urgell,Mountain,Eddy Merckx,BEL
16,1974-07-15,209.0,La Seu d'Urgell,Saint-Lary-Soulan Pla d'Adet,Mountain,Raymond Poulidor,FRA
17,1974-07-16,119.0,Saint-Lary-Soulan,La Mongie,Mountain,Jean-Pierre Danguillaume,FRA
18,1974-07-17,141.0,Bagnères-de-Bigorre,Pau,Mountain,Jean-Pierre Danguillaume,FRA
19a,1974-07-18,196.0,Pau,Bordeaux,Flat,Francis Campaner,FRA
19b,1974-07-18,12.0,Bordeaux,Bordeaux,Time Trial,Eddy Merckx,BEL
20,1974-07-19,120.0,Saint-Gilles-Croix-de-Vie,Nantes,Flat,Gerard Vianen,NED
21a,1974-07-20,113.0,Vouvray,Orléans,Flat,Eddy Merckx,BEL
21b,1974-07-20,37.0,Orléans,Orléans,Time Trial,Michel Pollentier,BEL
22,1974-07-21,146.0,Orléans,Paris,Flat,Eddy Merckx,BEL
P,1973-06-30,7.1,Scheveningen,Scheveningen,Time Trial,Joop Zoetemelk,NED
1a,1973-07-01,84.0,Scheveningen,Rotterdam,Flat,Willy Teirlinck,BEL
1b,1973-07-01,137.5,Rotterdam,Sint-Niklaas,Flat,José Catieau,FRA
2a,1973-07-02,12.4,Sint-Niklaas,Sint-Niklaas,Time Trial,Watney–Maes Pils,NaN
2b,1973-07-02,138.0,Sint-Niklaas,Roubaix,Flat,Eddy Verstraeten,BEL
3,1973-07-03,226.0,Roubaix,Reims,Flat,Cyrille Guimard,FRA
4,1973-07-04,214.0,Reims,Nancy,Flat,Joop Zoetemelk,NED
5,1973-07-05,188.0,Nancy,Mulhouse,Mountain,Walter Godefroot,BEL
6,1973-07-06,244.5,Mulhouse,Divonne-les-Bains,Mountain,Jean-Pierre Danguillaume,FRA
7a,1973-07-08,86.5,Divonne-les-Bains,Gaillard,Mountain,Luis Ocaña,ESP
7b,1973-07-08,150.5,Gaillard,Méribel,Mountain,Bernard Thévenet,FRA
8,1973-07-09,237.5,Moûtiers,Les Orres,Mountain,Luis Ocaña,ESP
9,1973-07-10,234.5,Embrun,Nice,Mountain,Vicente López Carril,ESP
10,1973-07-11,222.5,Nice,Aubagne,Mountain,Michael Wright,GBR
11,1973-07-12,238.0,Montpellier,Argelès-sur-Mer,Flat,Barry Hoban,GBR
12a,1973-07-13,28.3,Perpignan,Thuir,Time Trial,Luis Ocaña,ESP
12b,1973-07-13,76.0,Thuir,Pyrénées 2000,Mountain,Lucien Van Impe,BEL
13,1973-07-15,235.0,Bourg-Madame,Luchon,Mountain,Luis Ocaña,ESP
14,1973-07-16,227.5,Luchon,Pau,Mountain,Pedro Torres,ESP
15,1973-07-17,137.0,Pau,Fleurance,Flat,Wilfried David,BEL
16a,1973-07-18,210.0,Fleurance,Bordeaux,Flat,Walter Godefroot,BEL
16b,1973-07-18,12.4,Bordeaux,Bordeaux,Time Trial,Joaquim Agostinho,POR
17,1973-07-19,248.0,Sainte-Foy-la-Grande,Brive-la-Gaillarde,Flat,Claude Tollet,FRA
18,1973-07-20,216.5,Brive-la-Gaillarde,Puy de Dôme,Mountain,Luis Ocaña,ESP
19,1973-07-21,233.5,Bourges,Versailles,Flat,Barry Hoban,GBR
20a,1973-07-22,16.0,Versailles,Versailles,Time Trial,Luis Ocaña,ESP
20b,1973-07-22,89.0,Versailles,Paris,Flat,Bernard Thévenet,FRA
P,1972-07-01,7.2,Angers,Angers,Time Trial,Eddy Merckx,BEL
1,1972-07-02,235.5,Angers,Saint-Brieuc,Flat,Cyrille Guimard,FRA
2,1972-07-03,206.5,Saint-Brieuc,La Baule,Flat,Rik Van Linden,BEL
3a,1972-07-04,161.0,Pornichet,Saint-Jean-de-Monts,Flat,Ercole Gualazzini,ITA
3b,1972-07-04,16.2,Merlin-Plage,Merlin-Plage,Time Trial,Molteni,NaN
4,1972-07-05,236.0,Merlin-Plage,Royan,Flat,Cyrille Guimard,FRA
5a,1972-07-06,133.5,Royan,Bordeaux,Flat,Walter Godefroot,BEL
5b,1972-07-06,12.7,Bordeaux,Bordeaux,Time Trial,Eddy Merckx,BEL
6,1972-07-07,205.0,Bordeaux,Bayonne,Flat,Leo Duyndam,NED
7,1972-07-09,220.5,Bayonne,Pau,Mountain,Yves Hézard,FRA
8,1972-07-10,163.5,Pau,Luchon,Mountain,Eddy Merckx,BEL
9,1972-07-11,179.0,Luchon,Colomiers,Hilly,Jos Huysmans,BEL
10,1972-07-12,210.0,Castres,La Grande-Motte,Flat,Willy Teirlinck,BEL
11,1972-07-13,207.0,Carnon-Plage,Mont Ventoux,Mountain,Bernard Thévenet,FRA
12,1972-07-14,192.0,Carpentras,Orcières,Mountain,Lucien Van Impe,BEL
13,1972-07-16,201.0,Orcières,Briançon,Mountain,Eddy Merckx,BEL
14a,1972-07-17,51.0,Briançon,Valloire,Mountain,Eddy Merckx,BEL
14b,1972-07-17,151.0,Valloire,Aix-les-Bains,Mountain,Cyrille Guimard,FRA
15,1972-07-18,28.0,Aix-les-Bains,Le Revard,Mountain,Cyrille Guimard,FRA
16,1972-07-19,198.5,Aix-les-Bains,Pontarlier,Hilly,Willy Teirlinck,BEL
17,1972-07-20,213.0,Pontarlier,Ballon d’Alsace,Hilly,Bernard Thévenet,FRA
18,1972-07-21,257.5,Vesoul,Auxerre,Flat,Marinus Wagtmans,NED
19,1972-07-22,230.0,Auxerre,Versailles,Flat,Joseph Bruyère,BEL
20a,1972-07-23,42.0,Versailles,Versailles,Time Trial,Eddy Merckx,BEL
20b,1972-07-23,89.0,Versailles,Paris,Flat,Willy Teirlinck,BEL
P,1971-06-26,11.0,Mulhouse,Mulhouse,Time Trial,Molteni,NaN
1a,1971-06-27,59.5,Mulhouse,Basel,Mountain,Eric Leman,BEL
1b,1971-06-27,90.0,Basel,Freiburg,Flat,Gerben Karstens,NED
1c,1971-06-27,74.5,Freiburg,Mulhouse,Flat,Albert Van Vlierberghe,BEL
2,1971-06-28,144.0,Mulhouse,Strasbourg,Mountain,Eddy Merckx,BEL
3,1971-06-29,165.5,Strasbourg,Nancy,Mountain,Rini Wagtmans,NED
4,1971-06-30,242.0,Nancy,Marche-en-Famenne,Flat,Jean-Pierre Genet,FRA
5,1971-07-01,208.5,Dinant,Roubaix,Mountain,Pietro Guerra,ITA
6a,1971-07-02,127.5,Roubaix,Amiens,Flat,Eric Leman,BEL
6b,1971-07-02,133.5,Amiens,Le Touquet,Flat,Mauro Simonetti,ITA
7,1971-07-04,257.5,Rungis,Nevers,Flat,Eric Leman,BEL
8,1971-07-05,221.0,Nevers,Puy de Dôme,Mountain,Luis Ocaña,ESP
9,1971-07-06,153.0,Clermont-Ferrand,Saint-Étienne,Mountain,Walter Godefroot,BEL
10,1971-07-07,188.5,Saint-Étienne,Grenoble,Mountain,Bernard Thévenet,FRA
11,1971-07-08,134.0,Grenoble,Orcières,Mountain,Luis Ocaña,ESP
12,1971-07-10,251.0,Orcières,Marseille,Flat,Luciano Armani,ITA
13,1971-07-11,16.3,Albi,Albi,Time Trial,Eddy Merckx,BEL
14,1971-07-12,214.5,Revel,Luchon,Mountain,José Manuel Fuente,ESP
15,1971-07-13,19.6,Luchon,Superbagnères,Mountain,José Manuel Fuente,ESP
16a,1971-07-14,145.0,Luchon,Gourette,Mountain,Bernard Labourdette,FRA
16b,1971-07-14,57.5,Gourette,Pau,Flat,Herman Van Springel,BEL
17,1971-07-15,188.0,Mont-de-Marsan,Bordeaux,Flat,Eddy Merckx,BEL
18,1971-07-16,244.0,Bordeaux,Poitiers,Flat,Jean-Pierre Danguillaume,FRA
19,1971-07-17,185.0,Blois,Versailles,Flat,Jan Krekels,NED
20,1971-07-18,53.8,Versailles,Paris,Time Trial,Eddy Merckx,BEL
P,1970-06-27,7.4,Limoges,Limoges,Time Trial,Eddy Merckx,BEL
1,1970-06-27,224.5,Limoges,La Rochelle,Flat,Cyrille Guimard,FRA
2,1970-06-28,200.0,La Rochelle,Angers,Flat,Italo Zilioli,ITA
3a,1970-06-29,10.7,Angers,Angers,Time Trial,Faemino–Faema,NaN
3b,1970-06-29,140.0,Angers,Rennes,Flat,Marino Basso,ITA
4,1970-06-30,229.0,Rennes,Lisieux,Flat,Walter Godefroot,BEL
5a,1970-07-01,94.5,Lisieux,Rouen,Flat,Walter Godefroot,BEL
5b,1970-07-01,223.0,Rouen,Amiens,Flat,Jozef Spruyt,BEL
6,1970-07-02,135.5,Amiens,Valenciennes,Flat,Roger De Vlaeminck,BEL
7a,1970-07-03,120.0,Valenciennes,Forest,Flat,Eddy Merckx,BEL
7b,1970-07-03,7.2,Forest,Forest,Time Trial,José Antonio Gonzalez Linares,ESP
8,1970-07-04,232.5,Ciney,Felsberg,Flat,Alain Vasseur,FRA
9,1970-07-05,269.5,Saarlouis,Mulhouse,Mountain,Mogens Frey,DEN
10,1970-07-06,241.0,Belfort,Divonne-les-Bains,Mountain,Eddy Merckx,BEL
11a,1970-07-07,8.8,Divonne-les-Bains,Divonne-les-Bains,Time Trial,Eddy Merckx,BEL
11b,1970-07-07,139.5,Divonne-les-Bains,Thonon-les-Bains,Mountain,Marino Basso,ITA
12,1970-07-08,194.0,Thonon-les-Bains,Grenoble,Mountain,Eddy Merckx,BEL
13,1970-07-09,194.5,Grenoble,Gap,Mountain,Primo Mori,ITA
14,1970-07-10,170.0,Gap,Mont Ventoux,Mountain,Eddy Merckx,BEL
15,1970-07-11,140.5,Carpentras,Montpellier,Flat,Marinus Wagtmans,NED
16,1970-07-12,160.0,Montpellier,Toulouse,Flat,Albert Van Vlierberghe,BEL
17,1970-07-13,190.0,Toulouse,Saint-Gaudens,Flat,Luis Ocaña,ESP
18,1970-07-14,135.5,Saint-Gaudens,La Mongie,Mountain,Bernard Thévenet,FRA
19,1970-07-15,185.5,Bagnères-de-Bigorre,Mourenx,Mountain,Christian Raymond,FRA
20a,1970-07-16,223.5,Mourenx,Bordeaux,Flat,Rolf Wolfshohl,FRG
20b,1970-07-16,8.2,Bordeaux,Bordeaux,Time Trial,Eddy Merckx,BEL
21,1970-07-17,191.5,Ruffec,Tours,Flat,Marino Basso,ITA
22,1970-07-18,238.5,Tours,Versailles,Flat,Jean-Pierre Danguillaume,FRA
23,1970-07-19,54.0,Versailles,Paris,Time Trial,Eddy Merckx,BEL
P,1969-06-28,10.0,Roubaix,Roubaix,Time Trial,Rudi Altig,GER
1a,1969-06-29,147.0,Roubaix,Sint-Pieters-Woluwe,Flat,Marino Basso,ITA
1b,1969-06-29,16.0,Sint-Pieters-Woluwe,Sint-Pieters-Woluwe,Time Trial,Faema,NaN
2,1969-06-30,182.0,Sint-Pieters-Woluwe,Maastricht,Flat,Julien Stevens,BEL
3,1969-07-01,213.0,Maastricht,Charleville-Mézières,Flat,Eric Leman,BEL
4,1969-07-02,214.0,Charleville-Mézières,Nancy,Flat,Rik Van Looy,BEL
5,1969-07-03,194.0,Nancy,Mulhouse,Mountain,Joaquim Agostinho,POR
6,1969-07-04,133.0,Mulhouse,Ballon d’Alsace,Mountain,Eddy Merckx,BEL
7,1969-07-05,241.0,Belfort,Divonne-les-Bains,Mountain,Mariano Diaz,ESP
8a,1969-07-06,9.0,Divonne-les-Bains,Divonne-les-Bains,Time Trial,Eddy Merckx,BEL
8b,1969-07-06,137.0,Divonne-les-Bains,Thonon-les-Bains,Mountain,Michele Dancelli,ITA
9,1969-07-07,111.0,Thonon-les-Bains,Chamonix,Mountain,Roger Pingeon,FRA
10,1969-07-08,221.0,Chamonix,Briançon,Mountain,Herman Van Springel,BEL
11,1969-07-09,198.0,Briançon,Digne,Mountain,Eddy Merckx,BEL
12,1969-07-10,161.0,Digne,Aubagne,Mountain,Felice Gimondi,ITA
13,1969-07-11,196.0,Aubagne,La Grande-Motte,Flat,Guido Reybrouck,BEL
14,1969-07-12,234.0,La Grande-Motte,Revel,Flat,Joaquim Agostinho,POR
15,1969-07-13,19.0,Revel,Revel,Time Trial,Eddy Merckx,BEL
16,1969-07-14,199.0,Castelnaudary,Luchon,Mountain,Raymond Delisle,FRA
17,1969-07-15,214.0,Luchon,Mourenx,Mountain,Eddy Merckx,BEL
18,1969-07-16,201.0,Mourenx,Bordeaux,Flat,Barry Hoban,GBR
19,1969-07-17,193.0,Bordeaux,Brive,Flat,Barry Hoban,GBR
20,1969-07-18,198.0,Brive,Puy de Dôme,Mountain,Pierre Matignon,FRA
21,1969-07-19,329.0,Clermont-Ferrand,Montargis,Flat,Herman Van Springel,BEL
22a,1969-07-20,111.0,Montargis,Créteil,Flat,Jozef Spruyt,BEL
22b,1969-07-20,37.0,Créteil,Paris,Time Trial,Eddy Merckx,BEL
1a,1968-06-27,6.1,Vittel,Vittel,Time Trial,Charly Grosskost,FRA
1b,1968-06-28,189.0,Vittel,Esch-sur-Alzette,Flat,Charly Grosskost,FRA
2,1968-06-29,210.5,Arlon,Forest,Flat,Eric de Vlaeminck,BEL
3a,1968-06-30,22.0,Forest,Forest,Time Trial,Belgium A,NaN
3b,1968-06-30,112.0,Forest,Roubaix,Flat,Walter Godefroot,BEL
4,1968-07-01,238.0,Roubaix,Rouen,Flat,Georges Chappe,FRA
5a,1968-07-02,165.0,Rouen,Bagnoles-de-l'Orne,Flat,André Desvages,FRA
5b,1968-07-02,154.5,Bagnoles-de-l'Orne,Dinard,Flat,Jean Dumont,FRA
6,1968-07-03,188.0,Dinard,Lorient,Flat,Aurelio González Puente,ESP
7,1968-07-04,190.0,Lorient,Nantes,Flat,Franco Bitossi,ITA
8,1968-07-05,223.0,Nantes,Royan,Flat,Daniel van Ryckeghem,BEL
9,1968-07-07,137.5,Royan,Bordeaux,Flat,Walter Godefroot,BEL
10,1968-07-08,202.5,Bordeaux,Bayonne,Flat,Gilbert Bellone,FRA
11,1968-07-09,183.5,Bayonne,Pau,Flat,Daniel van Ryckeghem,BEL
12,1968-07-10,226.5,Pau,Saint-Gaudens,Mountain,Georges Pintens,BEL
13,1968-07-11,208.5,Saint-Gaudens,La Seu d'Urgell,Mountain,Herman Van Springel,BEL
14,1968-07-12,231.5,La Seu d'Urgell,Perpignan,Mountain,Jan Janssen,NED
15,1968-07-14,250.5,Font-Romeu-Odeillo-Via,Albi,Flat,Roger Pingeon,FRA
16,1968-07-15,199.0,Albi,Aurillac,Flat,Franco Bitossi,ITA
17,1968-07-16,236.5,Aurillac,Saint-Étienne,Mountain,Jean-Pierre Genet,FRA
18,1968-07-17,235.0,Saint-Étienne,Grenoble,Mountain,Roger Pingeon,FRA
19,1968-07-18,200.0,Grenoble,Sallanches,Mountain,Barry Hoban,GBR
20,1968-07-19,242.5,Sallanches,Besançon,Mountain,Jozef Huysmans,BEL
21,1968-07-20,242.0,Besançon,Auxerre,Flat,Eric Leman,BEL
22a,1968-07-21,136.0,Auxerre,Melun,Flat,Maurice Izier,FRA
22b,1968-07-21,55.2,Melun,Paris,Time Trial,Jan Janssen,NED
1a,1967-06-29,5.775,Angers,Angers,Time Trial,José-Maria Errandonea,ESP
1b,1967-06-30,185.5,Angers,Saint-Malo,Flat,Walter Godefroot,BEL
2,1967-07-01,180.0,Saint-Malo,Caen,Flat,Willy Van Neste,BEL
3,1967-07-02,248.0,Caen,Amiens,Flat,Marino Basso,ITA
4,1967-07-03,191.0,Amiens,Roubaix,Flat,Guido Reybrouck,BEL
5a,1967-07-04,172.0,Roubaix,Jambes,Flat,Roger Pingeon,FRA
5b,1967-07-04,17.0,Jambes,Jambes,Time Trial,Belgium,NaN
6,1967-07-05,238.0,Jambes,Metz,Flat,Herman Van Springel,BEL
7,1967-07-06,205.5,Metz,Strasbourg,Mountain,Michael Wright,GBR
8,1967-07-07,215.0,Strasbourg,Belfort/Ballon d’Alsace,Mountain,Lucien Aimar,FRA
9,1967-07-09,238.5,Belfort,Divonne-les-Bains,Mountain,Guido Reybrouck,BEL
10,1967-07-10,243.0,Divonne-les-Bains,Briançon,Mountain,Felice Gimondi,ITA
11,1967-07-11,197.0,Briançon,Digne,Mountain,José Samyn,FRA
12,1967-07-12,207.5,Digne,Marseille,Flat,Raymond Riotte,FRA
13,1967-07-13,211.5,Marseille,Carpentras,Mountain,Jan Janssen,NED
14,1967-07-14,201.5,Carpentras,Sète,Flat,Barry Hoban,GBR
15,1967-07-16,230.5,Sète,Toulouse,Flat,Rolf Wolfshohl,FRG
16,1967-07-17,188.0,Toulouse,Luchon,Mountain,Fernando Manzaneque,ESP
17,1967-07-18,250.0,Luchon,Pau,Mountain,Raymond Mastrotto,FRA
18,1967-07-19,206.5,Pau,Bordeaux,Flat,Marino Basso,ITA
19,1967-07-20,217.0,Bordeaux,Limoges,Flat,Jean Stablinski,FRA
20,1967-07-21,222.0,Limoges,Puy de Dôme,Mountain,Felice Gimondi,ITA
21,1967-07-22,359.0,Clermont-Ferrand,Fontainebleau,Flat,Paul Lemeteyer,FRA
22a,1967-07-23,104.0,Fontainebleau,Versailles,Flat,René Binggeli,SUI
22b,1967-07-23,46.6,Versailles,Paris,Time Trial,Raymond Poulidor,FRA
1,1966-06-21,209.0,Nancy,Charleville,Flat,Rudi Altig,FRG
2,1966-06-22,198.0,Charleville,Tournai,Flat,Guido Reybrouck,BEL
3a,1966-06-23,21.0,Tournai,Tournai,Time Trial,Televizier–Batavus,NaN
3b,1966-06-23,131.0,Tournai,Dunkirk,Flat,Gerben Karstens,NED
4,1966-06-24,205.0,Dunkirk,Dieppe,Flat,Willy Planckaert,BEL
5,1966-06-25,178.0,Dieppe,Caen,Flat,Franco Bitossi,ITA
6,1966-06-26,217.0,Caen,Angers,Flat,Edward Sels,BEL
7,1966-06-27,252.0,Angers,Royan,Flat,Albert Van Vlierberghe,BEL
8,1966-06-28,138.0,Royan,Bordeaux,Flat,Willy Planckaert,BEL
9,1966-06-29,201.0,Bordeaux,Bayonne,Flat,Gerben Karstens,NED
10,1966-06-30,234.0,Bayonne,Pau,Mountain,Tommaso de Pra,ITA
11,1966-07-01,188.0,Pau,Luchon,Mountain,Guido Marcello Mugnaini,ITA
12,1966-07-03,219.0,Luchon,Revel,Mountain,Rudi Altig,FRG
13,1966-07-04,191.0,Revel,Sète,Flat,Georges Vandenberghe,BEL
14a,1966-07-05,144.0,Montpellier,Vals-les-Bains,Flat,Jo de Roo,NED
14b,1966-07-05,20.0,Vals-les-Bains,Vals-les-Bains,Time Trial,Raymond Poulidor,FRA
15,1966-07-06,203.0,Privas,Le Bourg-d'Oisans,Mountain,Luís Otano,ESP
16,1966-07-07,148.0,Le Bourg-d'Oisans,Briançon,Mountain,Julio Jiménez,ESP
17,1966-07-08,160.0,Briançon,Turin,Mountain,Franco Bitossi,ITA
18,1966-07-10,188.0,Ivrea,Chamonix,Mountain,Edy Schutz,LUX
19,1966-07-11,265.0,Chamonix,Saint-Étienne,Mountain,Ferdinand Bracke,BEL
20,1966-07-12,223.0,Saint-Étienne,Montluçon,Flat,Henk Nijdam,NED
21,1966-07-13,232.0,Montluçon,Orléans,Flat,Pierre Beuffeuil,FRA
22a,1966-07-14,111.0,Orléans,Rambouillet,Flat,Edward Sels,BEL
22b,1966-07-14,51.0,Rambouillet,Paris,Time Trial,Rudi Altig,FRG
1a,1965-06-22,149.0,Cologne,Liège,Flat,Rik Van Looy,BEL
1b,1965-06-22,22.5,Liège,Liège,Time Trial,Ford France–Gitane,NaN
2,1965-06-23,200.5,Liège,Roubaix,Flat,Bernard Van De Kerkhove,BEL
3,1965-06-24,240.0,Roubaix,Rouen,Flat,Felice Gimondi,ITA
4,1965-06-25,227.0,Caen,Saint-Brieuc,Flat,Edgard Sorgeloos,BEL
5a,1965-06-26,147.0,Saint-Brieuc,Châteaulin,Flat,Cees van Espen,NED
5b,1965-06-26,26.7,Châteaulin,Châteaulin,Time Trial,Raymond Poulidor,FRA
6,1965-06-27,210.5,Quimper,La Baule,Flat,Guido Reybroeck,BEL
7,1965-06-28,219.0,La Baule,La Rochelle,Flat,Edward Sels,BEL
8,1965-06-29,197.5,La Rochelle,Bordeaux,Flat,Johan de Roo,NED
9,1965-06-30,226.5,Dax,Bagnères-de-Bigorre,Mountain,Julio Jiménez,ESP
10,1965-07-01,222.5,Bagnères-de-Bigorre,Ax-les-Thermes,Mountain,Guido Reybroeck,BEL
11,1965-07-02,240.5,Ax-les-Thermes,Barcelona,Mountain,José Perez-Frances,ESP
12,1965-07-04,219.0,Barcelona,Perpignan,Flat,Jan Janssen,NED
13,1965-07-05,164.0,Perpignan,Montpellier,Flat,Adriano Durante,ITA
14,1965-07-06,173.0,Montpellier,Mont Ventoux,Mountain,Raymond Poulidor,FRA
15,1965-07-07,167.5,Carpentras,Gap,Mountain,Giuseppe Fezzardi,ITA
16,1965-07-08,177.0,Gap,Briançon,Mountain,Joaquim Galera,ESP
17,1965-07-09,193.5,Briançon,Aix-les-Bains,Mountain,Julio Jiménez,ESP
18,1965-07-10,26.9,Aix-les-Bains,Le Revard,Time Trial,Felice Gimondi,ITA
19,1965-07-11,165.0,Aix-les-Bains,Lyon,Mountain,Rik Van Looy,BEL
20,1965-07-12,198.5,Lyon,Auxerre,Flat,Michael Wright,GBR
21,1965-07-13,225.5,Auxerre,Versailles,Flat,Gerben Karstens,NED
22,1965-07-14,37.8,Versailles,Paris,Time Trial,Felice Gimondi,ITA
1,1964-06-22,215.0,Rennes,Lisieux,Flat,Edward Sels,BEL
2,1964-06-23,208.0,Lisieux,Amiens,Flat,André Darrigade,FRA
3a,1964-06-24,197.0,Amiens,Forest,Flat,Bernard Vandekerkhove,BEL
3b,1964-06-24,21.0,Forest,Forest,Time Trial,Kas–Kaskol,NaN
4,1964-06-25,292.0,Forest,Metz,Flat,Rudi Altig,GER
5,1964-06-26,161.0,Lunéville,Freiburg,Flat,Willy Derboven,BEL
6,1964-06-27,200.0,Freiburg,Besançon,Flat,Henk Nijdam,NED
7,1964-06-28,195.0,Besançon,Thonon-les-Bains,Flat,Jan Janssen,NED
8,1964-06-29,249.0,Thonon-les-Bains,Briançon,Mountain,Federico Bahamontes,ESP
9,1964-06-30,239.0,Briançon,Monaco,Mountain,Jacques Anquetil,FRA
10a,1964-07-01,187.0,Monaco,Hyères,Flat,Jan Janssen,NED
10b,1964-07-01,21.0,Hyères,Toulon,Time Trial,Jacques Anquetil,FRA
11,1964-07-02,250.0,Toulon,Montpellier,Flat,Edward Sels,BEL
12,1964-07-03,174.0,Montpellier,Perpignan,Flat,Jo de Roo,NED
13,1964-07-04,170.0,Perpignan,Andorra,Mountain,Julio Jiménez,ESP
14,1964-07-06,186.0,Andorra,Toulouse,Mountain,Edward Sels,BEL
15,1964-07-07,203.0,Toulouse,Luchon,Mountain,Raymond Poulidor,FRA
16,1964-07-08,197.0,Luchon,Pau,Mountain,Federico Bahamontes,ESP
17,1964-07-09,43.0,Peyrehorade,Bayonne,Time Trial,Jacques Anquetil,FRA
18,1964-07-10,187.0,Bayonne,Bordeaux,Flat,André Darrigade,FRA
19,1964-07-11,215.0,Bordeaux,Brive,Flat,Edward Sels,BEL
20,1964-07-12,217.0,Brive,Puy de Dôme,Mountain,Julio Jiménez,ESP
